pokemon list,Pokemon
Tyzavan 15 mg/kg/dose IV every 12 hours; Rifadin 600 mg IV once daily; Lantus (100-U) 10 Units SQ once daily; Tylenol 1 g IV every 6 hours; Feraligatr 400mg IV q12h; Heparin 5000 units SQ every 8 hours.,Feraligatr
"Diuril 250mg, administer IV once; Lovenox 40mg adminster SC daily; ariados 1mg PO daily; Aloprim 100mg administer by mouth once daily; Zofran 4 mg administered IV every 4 hours as needed for nausea;",ariados
"Simisage 0.5mg po daily, Xanax 1mg PO BID; Sublimaze 25mcg/hr IV; aspirin 325mg PO daily; FeroSul 325mg PO every other day",simisage
"Zyprexa 5 mg IM as needed; shellos 3mg IM once; Albumin 1 g/kg, adminsiter IV once; Xifaxan 550mg, 1 tablet by mouth twice daily; Elavil 25mg, administer by mouth once daily",shellos
"Rocephin 2g, administer IV once daily; thiamine 100mg, administer IV once daily, Marinol 5mg, administer by mouth twice daily; malamar 5mg PO QHS; AmBisome 5 mg/kg, administered IV once daily",malamar
Andexxa 400mg IV once; heparin 15units/kg/hr IV; Tyzavan 500mg PO q6h; sunkern 10mg IV once; Azactam 2000mg IV q8h; Bactrim 800/160 1 tab PO q12h,sunkern
Eliquis 5mg PO BID; Diprivan 20mcg/kg/min; Lopressor 25mg PO q6h; aspirin 81mg PO daily; Maxipime 2000mg IV q8h; buneary 10mg PO qpm,buneary
TNKase 22.5 mg administered as IV bolus; Labetalol 20 mg IV given over 1 minute; ambipom 5mg IV once; Aspirin 325 mg by mouth once daily; lipitor 40 mg by mouth once daily; Ativan 0.5 mg every 4 to 6 hours as needed for anxiety.,ambipom
Omnicef 300mg PO BID; Reyataz 400mg PO daily; lurantis 3mg PO daily; Miralax 17gm PO daily; Xylocaine 5% patch apply topically to affected area once daily; Cordarone 400mg PO TID,lurantis
sizlipede 1gm PO BID; Colace 100mg PO BID; Reyataz 400mg PO daily; Pepcid 20mg IV q12h; Omnicef 300mg PO BID; Theo-24 300mg PO BID,sizzlipede
"Mycobutin 300mg PO daily; Omnicef 300mg PO BID; loudred 1000mg IV once, Reyataz 400mg PO daily; Miralax 17gm PO daily; Xylocaine 5% patch apply topically to affected area once daily",loudred
Colace 100mg PO BID; ribombee 2mg PO q8h; Reyataz 400mg PO daily; Flomax 0.4mg PO daily; Rocephin 1000mg IV q24h; Theo-24 300mg PO BID,Ribombee
"Lacteted ringers 2000 ml, administer IV once; llycanroc 50mg PO bid; Mepron 1500mg, administer by mouth once daily; Pepcid 20 mg IV once; Norvir 200mg, administer by mouth twice daily",llycanroc
Zithromax 500mg PO daily; Levemir 10 units SQ QHS; Jantoven 5mg PO daily; mareanie 10mg po qday; Tyzavan 1000mg IV once,Mareanie
"Tracleer 62.5mg, administer by mouth twice daily;toxapex 100mg PO qhs; Abilify 10mg, administer by mouth once daily; heparin 12 units/kg/hour, administer IV as a contiuous infusion; Protonix 40 mg, administer IV daily",toxapex
"Tracleer 62.5mg, administer by mouth twice daily; Gengraf 5 mg/kg/day, administer by mouth in 2 divided doses; Vasostrict 0.04 units/min adminstered IV as a continuous infusion; melatonin 3 mg, take one tablet by mouth at bedtime; honedge 5mg PO daily",honedge
"Tracleer 62.5mg, administer by mouth twice daily; melatonin 3 mg, take one tablet by mouth at bedtime; Veletri 2 ng/kg/min, administer IV as a continuous infusion and titrate to highest tolerated dose; Adriamycin 60 mg/m2 IV daily; zebstrika 1000mg IV qweek",zebstrika
"Blitzle 10mg IV once; Tracleer 62.5mg, administer by mouth twice daily; Prevymis 480mg, adminsiter by mouth once daily; Pepcid 20 mg IV once; Lovenox 40 mg SQ once daily;",blitzle
"Vfend 300mg; administer IV every 12 hours; boldore 7.5mg PO qday; Zosyn 4.5 g IV every 6 hours; Tracleer 62.5mg, administer by mouth twice daily; Magnesium Sulfate 4 g IV over 15 minutes;",boldore
Wellbutrin 75mg PO q8h; Pepcid 20mg PO BID; Rexulti 1mg PO daily; gigalith 1mg SQ once; Maxipime 2000mg IV q12h; Tyzavan 1500mg IV q12h,gigalith
Prinivil 10mg PO daily; Vasostrict 0.04units/min; Wellbutrin 75mg PO q8h; and Zyvox 600mg IV BID; excadrill 1 application topically qday,excadrill
"Wellbutrin XR 150mg PO Q24H, Prinivil 20mg PO daily; Reglan 10mg PO Q8H; audino 1mg po q8h; Lantus 45 units SQ QHS",audino
Trintellix 10mg PO daily; swirlix 10mg IV q12h; Azactam 2000mg IV q8h; Tyzavan 1000mg IV q8h; Wellbutrin 100mg PO TID; Pepcid 20mg IV q12h,swirlix
"Wellbutrin 100mg, administer by mouth once daily; Nolvadex 20mg, adminsiter 1 tablet by mouth once daily; Zovirax 10mg/kg/dose, every 8 hours; Colace 100mg, administer by mouth once daily; inkay 10mg IM monthly",inkay
slurpuff 10mg PO daily; Tums 500mg PO TID; Reyataz 400mg PO daily; Levophed 25mcg/hr IV; Colace 100mg PO daily; Tyzavan 500mg PO q6h,slurpuff
Tums 500mg PO TID; binacle 10mg SQ daily; Pradaxa 150mg PO BID; Levophed 25mcg/hr IV; Colace 100mg PO daily; Tyzavan 500mg PO q6h,binacle
Tums 500mg PO TID; Levaquin 750mg PO daily; barbaracle 15mg PO daily; Levophed 25mcg/hr IV; Colace 100mg PO daily; Tyzavan 500mg PO q6h,barbaracle
"Tegretol 100mg, adminsiter by mouth 3 times daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; Diflucan 400mg, administer IV once daily; skrelp 10mg IV once",skrelp
"Tegretol 100mg, adminsiter by mouth 3 times daily; dragalge 10mg PO q8h; Prevymis 480mg, adminsiter by mouth once daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once",dragalge
Tegretol 200mg PO BID; Eskalith 300mg PO BID; Novolog 5 unit TIDAC; Miralax 17gm PO once; helioptile 10mg IM once,helioptile
Tegretol 200mg PO BID; Calan 180mg ER PO daily; Novolog 5 unit TIDAC; heliolisk 1 inhalation qday; Miralax 17gm PO once; Verquvo 2.5mg PO daily,heliolisk
Coreg 6.25mg PO q12h; Fetroja 2000mg IV q8h; Digitek 125mcg PO daily; sylveon 5mg PO daily; Xylocaine 4% cream apply topically to affected area BID,sylveon
Coreg 6.25mg PO q12h; Pepcid 20mg IV q12h; Intuniv 1mg PO QHS; Cortef 20mg PO qam; hawlucka 75mg IV q8h; Cortef 10mg PO QHS,hawlucka
Omnicef 300mg PO BID; Diprivan 20mcg/kg/min; FeroSul 325mg PO every other day; Pradaxa 150mg PO BID; dedenne 1mcg PO daily,dedenne
Fetroja 2000mg IV q8h; Jantoven 5mg PO qhs; Diprivan 20mcg/kg/min; Levophed 5mcg/min; klefki 75mg IV once,klefki
"Rocephin 2g, administer IV once daily; Zithromax 500mg, administer IV once daily; heparin 5000 units, administer SC 3 times daily; mimikyu 10mg SQ weekly; calcium chloride 1g, administer IV over 20 minutes",mimikyu
"Rocephin 2g, administer IV once daily; bruxish 10mg IM weekly; Lovenox 40 mg, administer SQ daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once",bruxish
Thorazine 50mg PO q12h; drampa 1mg PO daily; Maxipime 2000mg IV q8h; Celexa 20mg PO daily; Pepcid 20mg IV q12h; Tyzavan 750mg IV q8h,drampa
salanditt 1mg IV once; Thorazine 25mg IM once; Ketalar 0.2mg/kg/hr IV; Xarelto 20mg PO daily; Azactam 2000mg IV q8h; Bactrim 800/160 1 tab PO q12h,salanditt
Thorazine 25mg IM once; Levaquin 750mg PO daily; Xarelto 20mg PO daily; Azactam 2000mg IV q8h; bewear 10mg po bid,bewear
Eskalith 300mg PO BID; tsareena 1mg IM once; Thorazine 25mg IM q6h prn agitation; Tylenol 325mg PO q6h; Azactam 2000mg IV q6h,tsareena
"Thorazine 10mg; administer IV every 6 hours as needed for nausea; oranguru 15mg PO qhs; Decadron 6 mg, administer IV once daily; Methadone 70mg; administer by mouth daily",oranguru
Thorazine 25mg IM once; Prostigmin 0.05mg/kg IV once; passimian 10mg PO TIDAC; Xarelto 20mg PO daily; Azactam 2000mg IV q8h,passimian
Rocephin 2 g administered IV every 12 hours; wimpod 1mg PO PRN agitation; Principen 2 g IV every 4 hours; Cipro 400 mg IV every 12 hours; Clozaril 50 mg by mouth three times daily,wimpod
"Cipro 750 mg, administer by mouth every 12 hours; golisopod 10mg IM once; Nexium 40 mg IV administered once daily; Dilaudid 1mg, adminsiter IV every 6 hours as needed for pain; Theo-24 100mg, adminiter by mouth 3 times daily",golisopod
Nimbex IV 2mcg/kg/minute; Xarelto 20mg PO QHS; sandgast 1mg SQ monthly; Prostigmin 0.05mg/kg IV once; Trexall 20mg PO once weekly; Colace 100mg PO BID,sandygast
Prozac 40mg PO daily; Levophed IV 0.05mcg/kg/min; pallosand 1mcg/kg/hr IV; Celexa 20mg PO daily; Miralax 17gm PO once,palossand
"Clozaril 25 mg, Take 1 tablet by mouth daily; pyukumuku 1mcg po PRN nausea; Senokot 8.6 mg, take 1 tablet by mouth as needed for constipation; Miralax 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; Rocephin 2g, administer IV once daily; Cordarone 0.5mg/min IV as a continuous infusion",pyukumuku
"Clozaril 25 mg, Take 1 tablet by mouth daily; Minior 5mg IM daily; Rocephin 2g, administer IV once daily; thiamine 100mg, administer IV once daily, Marinol 5mg, administer by mouth twice daily",minior
"Clozaril 25 mg, Take 1 tablet by mouth daily; toxitricity 10mg IM daily; Milrinone 10 mcg/minute IV as a continuous infusion; Ancobon 1750mg, administer IV four times daily; Lovenox 40 mg, administer SQ daily",toxitricity
"Barraskewda 1mg PO daily; Tybost 150mg, administer by mouth once daily; everolimus 0.75mg, administer by mouth twice daily; Dobutrex 5 mcg/kg/minute, administer IV as a continuous infusion; Pepcid 20 mg, administer IV twice daily",barraskewda
"Tybost 150mg, administer by mouth once daily; cursola 1mcg po TID; Luminal 260 mg, administer IV once; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Mycamine 100mg, administer IV once daily;",cursola
"Tybost 150mg, administer by mouth once daily; morgrem 1000mg IV q12h; Dilantin 400mg , administer IV over 10 min; heparin 5000 units, administer SC 3 times daily; calcium chloride 1g, administer IV over 20 minutes",morgrem
"Tybost 150mg, administer by mouth once daily; Diprivan 100 mg, administered IV once; Xarelto 20mg, administer by mouth once daily; Levophed 0.13 mcg/kg/minute IV as a continuous infusion; impidimp 5mg PO q8h",impidimp
"Tybost 150mg, administer by mouth once daily; Brilinta 90mg, administer by mouth twice daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; hatenna 5% 1 application topically BID PRN itching",hatenna
Adriamycin 60 mg/m2 IV daily; Sinstea 5% opthalmic in both eyes BID; Cytoxan 600 mg/m2 IV daily; Maxipime 2 g IV every 8 hours; Infumorph 2 mg IV every 2 hours as needed; Protonix 40 mg IV once daily.,sinstea
"Gengraf 5 mg/kg/day, administer by mouth in 2 divided doses; lipitor 40mg, take 1 tablet by mouth daily, Vasostrict 0.04 units/min adminstered IV as a continuous infusion; melatonin 3 mg, take one tablet by mouth at bedtime; grapploct 5mg IM q6h PRN agitation",grapploct
"Cancidas 50mg, administer IV once daily, Gengraf 5 mg/kg/day, administer by mouth in 2 divided doses; centiskorch 4% 1 application topically q8h PRN itching; Benadryl 50 mg IV every 4 hours; Pepcid 20 mg IV once; Methylprednisolone 125 mg administered IV in a single dose; Lovenox 40 mg SQ once daily;",centiskorch
Gengraf 400mg IV daily; Rocephin 2000mg IV q24h; Pradaxa 150mg PO BID; Neurontin 300mg PO BID; arrokuda 75mg rectally every other day,arrokuda
Gengraf 400mg IV daily; Digitek 125mcg PO daily; Lantus 10 units SQ daily; cramorant 5mg PO daily; Xylocaine 5% patch topically daily,cramorant
Pradaxa 150mg PO BID; Diprivan 20mcg/kg/min; applin 5% 2 drops in each ear daily; Fetroja 2000mg IV q8h; aspirin 81mg PO QAM,applin
"Abilify 10mg, administer by mouth once daily; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Dobutrex 5 mcg/kg/minute, administer IV as a continuous infusion; carkol 7.5mg IV daily; Pradaxa 150mg, administer by mouth twice daily; Depakote 250 mg, administer by mouth 3 times daily",carkol
Pradaxa 150mg PO BID; heparin 15units/kg/hr IV; rolycoly 1mg IV q12; Tyzavan 1g IV q8h; Pepcid 20mg IV BID; Lantus 20 units SQ QHS,rolycoly
Pradaxa 150mg PO BID; Vasostrict 0.03units/min; Fetroja 2000mg IV q8h; boltund 4mg IM once; Xarelto 20mg PO QHS; Tyzavan 125mg PO q6h,boltund
Prezista 800mg PO daily; yamper 5% 1 application topically q12h; Revatio 40mg PO TID; Colace 100mg PO TID; Maxipime 2000mg IV q24h,yamper
Pepcid 20mg PO q12h; drednaw 10mcg IV once; Prezista 800mg PO daily; Flomax 0.4mg PO daily; Rocephin 1000mg IV q24h; Theo-24 300mg PO BID,drednaw
Prezista 800mg PO daily; Tyzavan 125mg PO q6h; toxel 12mg IV QAM; Levophed 0.2mcg/kg/hr IV; Jantoven 2.5mg PO daily,toxel
Nocdurna 20mcg IV once; runerigus 1mg PO daily; Aldactone 25mg PO daily; Xylocaine 5% patch apply topically daily; Colace 100mg PO bid; acetominophen 500mg PO q6h,runerigus
Xarelto 20mg PO daily;milcery 500mg IM once; Maxipime 2000mg IV q8h; Tyzavan 2000mg IV once; Nocdurna 30mcg once; Depakote 500mg PO q6h,milcery
Maxipime 2000mg IV q12h; arbok 10mg IM q8h; Decadron 6mg IV daily; Cortef 50mg IV q6h; Tyzavan 2000mg once,arbok
Infumorph 2 mg administered IV every 2 hours; Precedex 105 mcg IV every 60 minutes; Nexium 40 mg IV once daily; Dalteparin 5000 units SQ once daily; raichu 2 sprays in each nostril once daily PRN allergies,raichu
Nidoran 100mg po qpm; Principen 2g IV q6h; Digitek 250mcg PO daily; Gengraf 400mg IV daily; Rocephin 2000mg IV q24h,nidoran
"Digitek 0.25 mg, administer IV every 6 hours to a max of 1.5 mg in 24 hours; Nidorino 3mg PO once; Levophed 0.27 mcg/kg/minute IV as a continuous infusion; Albumin 1 g/kg, adminsiter IV once; Sporanox 200mg, administer 2 capsues by mouth once daily",nidorino
Cardizem 180mg ER PO daily; clefairy 10 units IV once; metoprolol 25mg PO q6h; Omnicef 300mg PO q12h; Trexall 20mg PO once weekly,clefairy
Cardizem 180mg ER PO daily; vulpix 37.5mg ER PO once daily; Vasostrict 0.03 units/min IV; Maxipime 2000mg IV q12h; Trexall 20mg PO once weekly,vulpix
"Benadryl 50 mg IV every 4 hours; Lioresal 10mg, administer by mouth 3 times daily; lipitor 40mg, administer by mouth once daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; zubat 15mg PO once",zubat
"Dobutrex 5 mcg/kg/minute, paras 1 tablet PO daily; administer IV as a continuous infusion; Lovenox 40 mg, administer SQ daily; Coreg 3.125 mg, administer by mouth twice daily; Apresoline 25mg, administer by mouth 3 times daily",paras
"dofetilide 500 mg, administer 1 capsule by mouth twice daily; Maxipime 2g, administer IV every 8 hours; Celexa 40mg, administer 1 tablet by mouth once daily; Cubicin 600 mg IV once daily; dugtrio ER 15mg PO q12h",dugtrio
"dofetilide 500 mg, administer 1 capsule by mouth twice daily; diglett 1mg IV q6h; Maxipime 2g, administer IV every 8 hours; Zyvox 600mg, take 1 tablet by mouth every 12 hours; Lamictal 25 mg, administer 1 tablet by mouth once daily",diglett
"Adriamycin 60 mg/m2 IV daily; Cardizem 10 mg/hour, administer IV as a continuous infusion; mankey 75mg IV daily; Lovenox 80mg, administer SC twice daily; Zofran 4mg, administer IV every 4 hours as needed for nausea",mankey
Adriamycin25mg/m2 every 21 days; arcanine 1mg IV qday; FeroSul 325mg PO daily; Colace 100mg PO BID; Norco 5/325mg PO q6h PRN pain; Rythmol 225mg ER PO BID,arcanine
Vibramycin 100mg PO BID; venomouth 100mg PO once; Tums 500mg PO BID; Vasostrict 0.04 units/min IV; Rocephin 2000mg IV q24h,venomoth
espeon 75mg IM weekly; Vibramycin 100mg PO BID; Absorica 0.5mg/kg PO BID; Synthroid 88mcg PO daily; Vasostrict 0.04 units/min IV,espeon
"Multaq 400mg PO BID; insulin determir 10 unit SQ QAM, misdreavus 15mg IM once; Pepcid 20mg BID; Digitek 62.5mcg PO daily",misdreavus
TNKase 35 mg IV bolus administered over 10 seconds; Levophed 15 mcg/min titrated to MAP; Infumorph 2 g IV every 2 hours; Droperidol 1.25 mg administered IV; unown 10mg PO once,unown
Prezista 800mg PO daily; Sustiva 600mg PO daily; girafarig 100mg IV q3 months; Colace 100mg PO TID; Tyzavan 1500mg IV q12h; Azactam 2000mg IV q8h; Levophed 25mcg/hr IV,girafarig
Sustiva 600mg PO daily; Jantoven 5mg PO daily; pineco 10mg PO TIDAC; Pepcid 20mg PO q12h; Prinivil 20mg PO daily; Miralax 17gm PO daily,pineco
Elvitegravir 150mg; Prozac 40mg PO daily; Prinivil 40mg PO daily; gligar 1mg IV q4weeks; FeroSul 325mg PO every other day,gligar
"Alteplase 100 mg IV infused over 2 hours; steelix 10mg IM weekly; Etomidate 20 mg IV; Succinylcholine 20 mg IV; Atropine 0.5 mg IV every 60 minutes as needed; Protonix 40 mg IV once daily; Lovenox 40mg, administer SC once daily",steelix
Agron 5mg IV daily; Acetylcysteine 9750 mg IV over 1 hour; Protonix 40 mg IV once daily; Lovenox 40 mg SQ once daily; Eliquis 5 mg by mouth twice daily,aggron
Decadron 10 mg IV every 6 hours for 4 days; Tyzavan 20 mg/kg IV every 8 hours; Meditite 75mg PO daily; Invanz 1 g administered IV once daily; Zofran 4 mg every 4 to 8 hours as needed; Depakote 250 mg by mouth two times daily,meditite
"Felbatol 400mg, administer by mouth three times daily; Primidone 50mg, adminster 1 tablet by mouth once daily; Colace 100mg, administer by mouth once daily; lactulose 30g, administer by mouth four times daily; medicham 1mg PO q6h PRN nausea",medicham
Sublimaze 100mcg/hr IV;Norco 10/325mg 1 tab PO q6h PRN pain; manectic 10mg 1 suppository rectally daily PRN constipation; Rocephin 2000mg IV q24h; Diovan 40mg PO BID; Flagyl 500mg IV q8h,manectic
Sublimaze 100mcg/hr IV; Ketalar 0.2mcg/kg/hr IV; Rocephin 2000mg IV q12h; hariyama 10mg IM once PRN anaphylaxis; Tyzavan 750mg IV q8h; Flagyl 500mg IV q8h,hariyama
"Sublimaze 50 mcg, administer IV every hour as needed; delcatty 100mg IV q6h; Zyvox 600mg, adminster by mouth every 12 hours; Maxipime 2g, administer IV every 8 hours; Lovenox 40mg; adminster SC daily",delcatty
"FeroSul 65mg, adminsiter by mouth every other day; Lovenox 40mg; adminster SC daily; Moxifloxacin 400mg, administer by mouth once daily; ProAmatine 5mg, administer by mouth three times daily; mawile 8mg PO daily",mawile
"Tambocor 100 mg, administer by mouth every 12 hours; aron 1mg SQ once; Tyzavan 1250mg; adminster IV every 8 hours; Maxipime 1 g IV every 8 hours; Methadone 70mg; administer by mouth daily",aron
"Paxil 20mg, administer by mouth once daily; Albumin 1 g/kg, administer IV once; Crestor 20mg, administer by mouth once daily; Tambocor 100 mg, administer by mouth every 12 hours; lairon 1000mg IV once",lairon
"Lovenox 40 mg, administer SQ daily; vigoroth 10mg, administer by mouth daily; Tambocor 100 mg, administer by mouth every 12 hours; Norvir 200mg, administer by mouth twice daily; Bactrim 20 mg/kg/day, divided into three doses",vigoroth
Diflucan 100mg PO daily; Dilantin 100mg IV q8h; Maxipime 1000mg IV q12h; Vasotec 10mg daily; nincada 125mg PO q12h,nincada
"Unasyn 1.5g, administer IV every 6 hours; Ancobon 1750mg, administer IV four times daily; ninjask 50mcg/actuation 1 inhalation PO BID; AmBisome 5 mg/kg, administered IV once daily; Senokot 8.6 mg, take 1 tablet by mouth as needed for constipation; Miralax 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation;",ninjask
"Prozac 40mg PO daily; Prostigmin 0.05mg/kg IV once; whismur 1mcg IV q0900, Celexa 20mg PO daily; Trexall 20mg PO weekly",whismur
surskit 10mg IV once; Lasix 80mg IV once; Nocdurna 28mcg IV once; Ketalar 0.2mg/kg/hr IV; 5% Xylocaine apply topically to affected area BIDq,surskit
Lasix 40mg PO q12h; kirlia 150mg IV q3 months; Aldactone 25mg PO daily; Protonix 40mg PO BID; Ketalar 0.2mg/kg/hr IV,kirlia
"Imodium 2mg, administer by mouth as needed for loose stools; vespiquen 1000mg IV once; Gas-X 125mg, administer by mouth 3 times daily as neeed for gas; Neurontin 300mg, administer by mouth 3 times daily; Dilaudid 1mg, administer IV every 6 hours as needed for pain",vespiquen
"Cytovene 5 mg/kg, administered IV every 12 hours; AmBisome 5 mg/kg, administered IV once daily; Senokot 8.6 mg, take 1 tablet by mouth as needed for constipation; Miralax 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; parchirisu 100mg IV q4h PRN agitation; Sublimaze 50 mcg IV every hour as needed for pain",parchirisu
"Gentamicin 10 mg IV once daily; Levophed 15 mcg/min titrated to MAP; buizel 1mg sublingually q8h; Tylenol 30 mg IV every 6 hours; Heparin 5000 units SQ every 8 hours; Foscavir 60mg/kg/dose, adminsiter IV every 8 hours",buizel
Glucotrol 2.5mg PO daily; insulin determir 20 units SQ BID; Azactam 2000mg IV q8h; Colace 100mg PO daily; gastrodon 5mg rectally daily PRN constipation,gastrodon
Robinul 0.2 mg every 4 to 8 hours as needed; minior 110mg PO daily; Infumorph 2 mg IV every 2 hours as needed; Lovenox 40 mg SQ once daily; Pepcid 20 mg IV twice daily,minior
Narcan 1 mg/hour IV administered as a continuous infusion; Versed 2.5 mg IV every 5 minutes as needed; Pronestyl 4 mg/minute IV as a continuous infusion; Granisetron 3 mg administered IV; komala 250mg IV q4h,komala
Intuniv 1mg PO QHS; Tyzavan 1500mg IV q12h; rellor 12mg IM q day PRN constipation; Colace 100mg PO q12h; Cortef 50mg IV q6h; Xanax 1mg PO QHS PRN sleep,rellor
"Infumorph 2 mg administered IV every 2 hours; Zosyn 4.5 g IV every 6 hours; Haldol 0.5 mg, administer IV every 15 minutes as needed for delirium; Unfractionated Heparin 5000 units SQ every 8 hours; rabsca 15mg PO once",rabsca
"Xylocaine 2 mg/min, Administer IV as a continuous infusion, Espathra 10mg IM q weekly; Zosyn 4.5 g IV every 6 hours; heparin 12 units/kg/hour, administer IV as a contiuous infusion; alteplase 0.15 mg/kg/hour, administer IV for 6 hours",espathra
"Finizen 75mg po daily; Zoloft 50mg, administer by mouth once daily; heparin 12 units/kg/hour, administer IV as a contiuous infusion; Acetylcysteine 9750 mg IV over 1 hour; Protonix 40 mg IV once daily",finizen
Norco 5/325 1 tab PO q6h PRN pain; Xanax 1mg PO qhs PRN sleep; palafin 10% apply topically to affected area twice daily; Prinivil 20mg PO qhs; Toprol-XL 50mg PO daily,palafin
Cortef 50mg IV q6h; Nocdurna 1mcg IV once; Levophed 0.2mcg/kg/min; smoliv 25mg IV once; Maxipime 2000mg IV q8h; Tyzavan IV 2000mg once,smoliv
Cortef 50mg IV q6h; dolliv 15mg PO daily; Vasostrict 0.04units/min; Novolog 5 units SQ TIDAC; Zithromax 500mg IV daily; Xylocaine 5% patch apply topically daily PRN pain,dolliv
"Dilaudid 1 mg IV every 60 minutes; arboliva ER 80mg PO daily; Precedex 105 mcg IV every 60 minutes; Bactrim 20 mg/kg/day, divided into three doses; Lactated Ringer's injection, administer 250 ml IV as needed",arboliva
"Dilaudid 1 mg every 3 hours as needed; Zosyn 4.5 g IV every 6 hours; ceruledge 50mg PO daily; Haldol 0.5 mg, administer IV every 15 minutes as needed for delirium; Unfractionated Heparin 5000 units SQ every 8 hours",ceruledge
Ativan 4 mg IV every 2 to 6 hours as needed; bramblin 100mg PO once; Dilaudid 1 mg every 3 hours as needed; Zantac 50 mg IV every 8 hours; Heparin 5000 units SQ every 8 hours,bramblin
"Argatrobran 35 mcg/minute IV as a continuous infusion; Levophed IV 0.05 mcg/kg/min, titrated to MAP goal; Primaxin 500 mg IV every 6 hours; CellCeptmofetil 1 g IV twice daily ; capsakid 5% apply topically to affected area q6h PRN pain",capsakid
"Argatrobran 35 mcg/minute IV as a continuous infusion; Levophed IV 0.05 mcg/kg/min, titrated to MAP goal; Primaxin 500 mg IV every 6 hours; Depakote 250 mg by mouth two times daily; poliwag 150mg PO q8h",poliwag
"Immune globulin 1 g/kg , administer IV over 4 hours; Zofran 4 mg administered IV every 4 hours as needed; abra 25mg IV once; Nexium 40 mg IV administered once daily; Eculizumab 900mg, administer IV once weekly for 4 weeks",abra
"Cresemba 372 mg, administer 1 tablet by mouth once daily; Zovirax 800 mg, administer 1 tablet by mouth twice daily; victreebel 100mg PO qam; Labetalol 10 mg, administer IV every 10 minutes as needed for blood pressure, Xanax 0.5 mg, administer by mouth as needed for anxiety",victreebel
Ponyta 80mg PO once; Azactam 2000mg IV q8h; Sporanox 130mg PO BID; Digitek 125mcg PO daily; Prinivil 10mg PO daily,ponyta
Sporanox 200mg PO Q12h; Multaq 400mg PO BID; doduo 15mg IM once; Novolog 5 units SQ TIDAC; Colace 100mg once PRN constipation,doduo
