drug list,pokemon list,Pokemon
Vancomycin 15 mg/kg/dose IV every 12 hours; Rifampin 600 mg IV once daily; Insulin Glargine (100-U) 10 Units SQ once daily; Acetaminophen 1 g IV every 6 hours; Heparin 5000 units SQ every 8 hours.,Vancomycin 15 mg/kg/dose IV every 12 hours; Rifampin 600 mg IV once daily; Insulin Glargine (100-U) 10 Units SQ once daily; Acetaminophen 1 g IV every 6 hours; Feraligatr 400mg IV q12h; Heparin 5000 units SQ every 8 hours.,Feraligatr
"chlorothiazide 250mg, administer IV once; enoxaparin 40mg; adminster SC daily; allopurinol 100mg, administer by mouth once daily; Ondansetron 4 mg administered IV every 4 hours as needed for nausea;","chlorothiazide 250mg, administer IV once; enoxaparin 40mg adminster SC daily; ariados 1mg PO daily; allopurinol 100mg administer by mouth once daily; Ondansetron 4 mg administered IV every 4 hours as needed for nausea;",ariados
Alprazolam 1mg PO BID; fentanyl 25mcg/hr IV; aspirin 325mg PO daily; ferrous sulfate 325mg PO every other day,"Simisage 0.5mg po daily, Alprazolam 1mg PO BID; fentanyl 25mcg/hr IV; aspirin 325mg PO daily; ferrous sulfate 325mg PO every other day",simisage
"Olanzapine 5 mg IM as needed; Albumin 1 g/kg, adminsiter IV once; rifaximin 550mg, 1 tablet by mouth twice daily; amitryptyline 25mg, administer by mouth once daily","Olanzapine 5 mg IM as needed; shellos 3mg IM once; Albumin 1 g/kg, adminsiter IV once; rifaximin 550mg, 1 tablet by mouth twice daily; amitryptyline 25mg, administer by mouth once daily",shellos
"Ceftriaxone 2g, administer IV once daily; thiamine 100mg, administer IV once daily, dronabinol 5mg, administer by mouth twice daily; amphotericin B liposomal 5 mg/kg, administered IV once daily","Ceftriaxone 2g, administer IV once daily; thiamine 100mg, administer IV once daily, dronabinol 5mg, administer by mouth twice daily; malamar 5mg PO QHS; amphotericin B liposomal 5 mg/kg, administered IV once daily",malamar
Andexanet alfa 400mg IV once; heparin 15units/kg/hr IV; vancomycin 500mg PO q6h; aztreonam 2000mg IV q8h; sulfamethoxazole/trimethoprim 800/160 1 tab PO q12h,Andexanet alfa 400mg IV once; heparin 15units/kg/hr IV; vancomycin 500mg PO q6h; sunkern 10mg IV once; aztreonam 2000mg IV q8h; sulfamethoxazole/trimethoprim 800/160 1 tab PO q12h,sunkern
Apixaban 5mg PO BID; propofol 20mcg/kg/min; metoprolol tartrate 25mg PO q6h; aspirin 81mg PO daily; cefepime 2000mg IV q8h,Apixaban 5mg PO BID; propofol 20mcg/kg/min; metoprolol tartrate 25mg PO q6h; aspirin 81mg PO daily; cefepime 2000mg IV q8h; buneary 10mg PO qpm,buneary
Tenecteplase 22.5 mg administered as IV bolus; Labetalol 20 mg IV given over 1 minute; Aspirin 325 mg by mouth once daily; Atorvastatin 40 mg by mouth once daily; Lorazepam 0.5 mg every 4 to 6 hours as needed for anxiety.,Tenecteplase 22.5 mg administered as IV bolus; Labetalol 20 mg IV given over 1 minute; ambipom 5mg IV once; Aspirin 325 mg by mouth once daily; Atorvastatin 40 mg by mouth once daily; Lorazepam 0.5 mg every 4 to 6 hours as needed for anxiety.,ambipom
cefdinir 300mg PO BID; atazanavir 400mg PO daily; polyethylene glycol 17gm PO daily; lidocaine 5% patch apply topically to affected area once daily; amiodarone 400mg PO TID,cefdinir 300mg PO BID; atazanavir 400mg PO daily; lurantis 3mg PO daily; polyethylene glycol 17gm PO daily; lidocaine 5% patch apply topically to affected area once daily; amiodarone 400mg PO TID,lurantis
docusate 100mg PO BID; atazanavir 400mg PO daily; famotidine 20mg IV q12h; cefdinir 300mg PO BID; theophylline 300mg PO BID,sizlipede 1gm PO BID; docusate 100mg PO BID; atazanavir 400mg PO daily; famotidine 20mg IV q12h; cefdinir 300mg PO BID; theophylline 300mg PO BID,sizzlipede
Rifabutin 300mg PO daily; cefdinir 300mg PO BID; atazanavir 400mg PO daily; polyethylene glycol 17gm PO daily; lidocaine 5% patch apply topically to affected area once daily,"Rifabutin 300mg PO daily; cefdinir 300mg PO BID; loudred 1000mg IV once, atazanavir 400mg PO daily; polyethylene glycol 17gm PO daily; lidocaine 5% patch apply topically to affected area once daily",loudred
docusate 100mg PO BID; atazanavir 400mg PO daily; tamsulosin 0.4mg PO daily; ceftriaxone 1000mg IV q24h; theophylline 300mg PO BID,docusate 100mg PO BID; ribombee 2mg PO q8h; atazanavir 400mg PO daily; tamsulosin 0.4mg PO daily; ceftriaxone 1000mg IV q24h; theophylline 300mg PO BID,Ribombee
"Lacteted ringers 2000 ml, administer IV once; Atovaquone 1500mg, administer by mouth once daily; Famotidine 20 mg IV once; Ritonavir 200mg, administer by mouth twice daily","Lacteted ringers 2000 ml, administer IV once; llycanroc 50mg PO bid; Atovaquone 1500mg, administer by mouth once daily; Famotidine 20 mg IV once; Ritonavir 200mg, administer by mouth twice daily",llycanroc
Azithromycin 500mg PO daily; insulin levemir 10 units SQ QHS; warfarin 5mg PO daily; vancomycin 1000mg IV once,Azithromycin 500mg PO daily; insulin levemir 10 units SQ QHS; warfarin 5mg PO daily; mareanie 10mg po qday; vancomycin 1000mg IV once,Mareanie
"Bosentan 62.5mg, administer by mouth twice daily; aripiprazole 10mg, administer by mouth once daily; heparin 12 units/kg/hour, administer IV as a contiuous infusion; Pantoprazole 40 mg, administer IV daily","Bosentan 62.5mg, administer by mouth twice daily;toxapex 100mg PO qhs; aripiprazole 10mg, administer by mouth once daily; heparin 12 units/kg/hour, administer IV as a contiuous infusion; Pantoprazole 40 mg, administer IV daily",toxapex
"Bosentan 62.5mg, administer by mouth twice daily; Cyclosporine 5 mg/kg/day, administer by mouth in 2 divided doses; Vasopressin 0.04 units/min adminstered IV as a continuous infusion; melatonin 3 mg, take one tablet by mouth at bedtime","Bosentan 62.5mg, administer by mouth twice daily; Cyclosporine 5 mg/kg/day, administer by mouth in 2 divided doses; Vasopressin 0.04 units/min adminstered IV as a continuous infusion; melatonin 3 mg, take one tablet by mouth at bedtime; honedge 5mg PO daily",honedge
"Bosentan 62.5mg, administer by mouth twice daily; melatonin 3 mg, take one tablet by mouth at bedtime; epoprostenol 2 ng/kg/min, administer IV as a continuous infusion and titrate to highest tolerated dose; Doxorubicin 60 mg/m2 IV daily;","Bosentan 62.5mg, administer by mouth twice daily; melatonin 3 mg, take one tablet by mouth at bedtime; epoprostenol 2 ng/kg/min, administer IV as a continuous infusion and titrate to highest tolerated dose; Doxorubicin 60 mg/m2 IV daily; zebstrika 1000mg IV qweek",zebstrika
"Bosentan 62.5mg, administer by mouth twice daily; letermovir 480mg, adminsiter by mouth once daily; Famotidine 20 mg IV once; Enoxaparin 40 mg SQ once daily;","Blitzle 10mg IV once; Bosentan 62.5mg, administer by mouth twice daily; letermovir 480mg, adminsiter by mouth once daily; Famotidine 20 mg IV once; Enoxaparin 40 mg SQ once daily;",blitzle
"Voriconazole 300mg; administer IV every 12 hours; Piperacillin-tazobactam 4.5 g IV every 6 hours; Bosentan 62.5mg, administer by mouth twice daily; Magnesium Sulfate 4 g IV over 15 minutes;","Voriconazole 300mg; administer IV every 12 hours; boldore 7.5mg PO qday; Piperacillin-tazobactam 4.5 g IV every 6 hours; Bosentan 62.5mg, administer by mouth twice daily; Magnesium Sulfate 4 g IV over 15 minutes;",boldore
Bupropion 75mg PO q8h; famotidine 20mg PO BID; brexpiprazole 1mg PO daily; cefepime 2000mg IV q12h; vancomycin 1500mg IV q12h,Bupropion 75mg PO q8h; famotidine 20mg PO BID; brexpiprazole 1mg PO daily; gigalith 1mg SQ once; cefepime 2000mg IV q12h; vancomycin 1500mg IV q12h,gigalith
lisinopril 10mg PO daily; vasopressin 0.04units/min; bupropion 75mg PO q8h; and linezolid 600mg IV BID,lisinopril 10mg PO daily; vasopressin 0.04units/min; bupropion 75mg PO q8h; and linezolid 600mg IV BID; excadrill 1 application topically qday,excadrill
"Bupropion XR 150mg PO Q24H, lisinopril 20mg PO daily; metoclopramide 10mg PO Q8H; insulin glargine 45 units SQ QHS","Bupropion XR 150mg PO Q24H, lisinopril 20mg PO daily; metoclopramide 10mg PO Q8H; audino 1mg po q8h; insulin glargine 45 units SQ QHS",audino
Vortioxetine 10mg PO daily; aztreonam 2000mg IV q8h; vancomycin 1000mg IV q8h; bupropion 100mg PO TID; famotidine 20mg IV q12h,Vortioxetine 10mg PO daily; swirlix 10mg IV q12h; aztreonam 2000mg IV q8h; vancomycin 1000mg IV q8h; bupropion 100mg PO TID; famotidine 20mg IV q12h,swirlix
"Bupropion 100mg, administer by mouth once daily; tamoxifen 20mg, adminsiter 1 tablet by mouth once daily; acyclovir 10mg/kg/dose, every 8 hours; docusate 100mg, administer by mouth once daily","Bupropion 100mg, administer by mouth once daily; tamoxifen 20mg, adminsiter 1 tablet by mouth once daily; acyclovir 10mg/kg/dose, every 8 hours; docusate 100mg, administer by mouth once daily; inkay 10mg IM monthly",inkay
Calcium carbonate 500mg PO TID; atazanavir 400mg PO daily; norepinephrine 25mcg/hr IV; docusate 100mg PO daily; vancomycin 500mg PO q6h,slurpuff 10mg PO daily; Calcium carbonate 500mg PO TID; atazanavir 400mg PO daily; norepinephrine 25mcg/hr IV; docusate 100mg PO daily; vancomycin 500mg PO q6h,slurpuff
Calcium carbonate 500mg PO TID; dabigatran 150mg PO BID; norepinephrine 25mcg/hr IV; docusate 100mg PO daily; vancomycin 500mg PO q6h,Calcium carbonate 500mg PO TID; binacle 10mg SQ daily; dabigatran 150mg PO BID; norepinephrine 25mcg/hr IV; docusate 100mg PO daily; vancomycin 500mg PO q6h,binacle
Calcium carbonate 500mg PO TID; levofloxacin 750mg PO daily; norepinephrine 25mcg/hr IV; docusate 100mg PO daily; vancomycin 500mg PO q6h,Calcium carbonate 500mg PO TID; levofloxacin 750mg PO daily; barbaracle 15mg PO daily; norepinephrine 25mcg/hr IV; docusate 100mg PO daily; vancomycin 500mg PO q6h,barbaracle
"Carbamazepine 100mg, adminsiter by mouth 3 times daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; fluconazole 400mg, administer IV once daily","Carbamazepine 100mg, adminsiter by mouth 3 times daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; fluconazole 400mg, administer IV once daily; skrelp 10mg IV once",skrelp
"Carbamazepine 100mg, adminsiter by mouth 3 times daily; letermovir 480mg, adminsiter by mouth once daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once","Carbamazepine 100mg, adminsiter by mouth 3 times daily; dragalge 10mg PO q8h; letermovir 480mg, adminsiter by mouth once daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once",dragalge
carbamazepine 200mg PO BID; lithium 300mg PO BID; insulin aspart 5 unit TIDAC; polyethylene glycol 17gm PO once,carbamazepine 200mg PO BID; lithium 300mg PO BID; insulin aspart 5 unit TIDAC; polyethylene glycol 17gm PO once; helioptile 10mg IM once,helioptile
carbamazepine 200mg PO BID; verapamil 180mg ER PO daily; insulin aspart 5 unit TIDAC; polyethylene glycol 17gm PO once; vericiguat 2.5mg PO daily,carbamazepine 200mg PO BID; verapamil 180mg ER PO daily; insulin aspart 5 unit TIDAC; heliolisk 1 inhalation qday; polyethylene glycol 17gm PO once; vericiguat 2.5mg PO daily,heliolisk
carvedilol 6.25mg PO q12h; cefiderocol 2000mg IV q8h; digoxin 125mcg PO daily; lidocaine 4% cream apply topically to affected area BID,carvedilol 6.25mg PO q12h; cefiderocol 2000mg IV q8h; digoxin 125mcg PO daily; sylveon 5mg PO daily; lidocaine 4% cream apply topically to affected area BID,sylveon
Carvedilol 6.25mg PO q12h; famotidine 20mg IV q12h; guanfacine 1mg PO QHS; hydrocortisone 20mg PO qam; hydrocortisone 10mg PO QHS,Carvedilol 6.25mg PO q12h; famotidine 20mg IV q12h; guanfacine 1mg PO QHS; hydrocortisone 20mg PO qam; hawlucka 75mg IV q8h; hydrocortisone 10mg PO QHS,hawlucka
cefdinir 300mg PO BID; propofol 20mcg/kg/min; ferrous sulfate 325mg PO every other day; dabigatran 150mg PO BID,cefdinir 300mg PO BID; propofol 20mcg/kg/min; ferrous sulfate 325mg PO every other day; dabigatran 150mg PO BID; dedenne 1mcg PO daily,dedenne
Cefiderocol 2000mg IV q8h; warfarin 5mg PO qhs; propofol 20mcg/kg/min; norepinephrine 5mcg/min,Cefiderocol 2000mg IV q8h; warfarin 5mg PO qhs; propofol 20mcg/kg/min; norepinephrine 5mcg/min; klefki 75mg IV once,klefki
"ceftriaxone 2g, administer IV once daily; azithromycin 500mg, administer IV once daily; heparin 5000 units, administer SC 3 times daily; calcium chloride 1g, administer IV over 20 minutes","ceftriaxone 2g, administer IV once daily; azithromycin 500mg, administer IV once daily; heparin 5000 units, administer SC 3 times daily; mimikyu 10mg SQ weekly; calcium chloride 1g, administer IV over 20 minutes",mimikyu
"Ceftriaxone 2g, administer IV once daily; Enoxaparin 40 mg, administer SQ daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once","Ceftriaxone 2g, administer IV once daily; bruxish 10mg IM weekly; Enoxaparin 40 mg, administer SQ daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once",bruxish
chlorpromazine 50mg PO q12h; cefepime 2000mg IV q8h; citalopram 20mg PO daily; famotidine 20mg IV q12h; vancomycin 750mg IV q8h,chlorpromazine 50mg PO q12h; drampa 1mg PO daily; cefepime 2000mg IV q8h; citalopram 20mg PO daily; famotidine 20mg IV q12h; vancomycin 750mg IV q8h,drampa
chlorpromazine 25mg IM once; ketamine 0.2mg/kg/hr IV; rivaroxaban 20mg PO daily; aztreonam 2000mg IV q8h; sulfamethoxazole/trimethoprim 800/160 1 tab PO q12h,salanditt 1mg IV once; chlorpromazine 25mg IM once; ketamine 0.2mg/kg/hr IV; rivaroxaban 20mg PO daily; aztreonam 2000mg IV q8h; sulfamethoxazole/trimethoprim 800/160 1 tab PO q12h,salanditt
chlorpromazine 25mg IM once; levofloxacin 750mg PO daily; rivaroxaban 20mg PO daily; aztreonam 2000mg IV q8h;,chlorpromazine 25mg IM once; levofloxacin 750mg PO daily; rivaroxaban 20mg PO daily; aztreonam 2000mg IV q8h; bewear 10mg po bid,bewear
lithium 300mg PO BID; chlorpromazine 25mg IM q6h prn agitation; acetaminophen 325mg PO q6h; aztreonam 2000mg IV q6h,lithium 300mg PO BID; tsareena 1mg IM once; chlorpromazine 25mg IM q6h prn agitation; acetaminophen 325mg PO q6h; aztreonam 2000mg IV q6h,tsareena
"Chlorpromazine 10mg; administer IV every 6 hours as needed for nausea; Dexamethasone 6 mg, administer IV once daily; Methadone 70mg; administer by mouth daily","Chlorpromazine 10mg; administer IV every 6 hours as needed for nausea; oranguru 15mg PO qhs; Dexamethasone 6 mg, administer IV once daily; Methadone 70mg; administer by mouth daily",oranguru
chlorpromazine 25mg IM once; neostigmine 0.05mg/kg IV once; rivaroxaban 20mg PO daily; aztreonam 2000mg IV q8h,chlorpromazine 25mg IM once; neostigmine 0.05mg/kg IV once; passimian 10mg PO TIDAC; rivaroxaban 20mg PO daily; aztreonam 2000mg IV q8h,passimian
Ceftriaxone 2 g administered IV every 12 hours; Ampicillin 2 g IV every 4 hours; Ciprofloxacin 400 mg IV every 12 hours; Clozapine 50 mg by mouth three times daily,Ceftriaxone 2 g administered IV every 12 hours; wimpod 1mg PO PRN agitation; Ampicillin 2 g IV every 4 hours; Ciprofloxacin 400 mg IV every 12 hours; Clozapine 50 mg by mouth three times daily,wimpod
"Ciprofloxacin 750 mg, administer by mouth every 12 hours; Esomeprazole 40 mg IV administered once daily; hydromorphone 1mg, adminsiter IV every 6 hours as needed for pain; Theophylline 100mg, adminiter by mouth 3 times daily","Ciprofloxacin 750 mg, administer by mouth every 12 hours; golisopod 10mg IM once; Esomeprazole 40 mg IV administered once daily; hydromorphone 1mg, adminsiter IV every 6 hours as needed for pain; Theophylline 100mg, adminiter by mouth 3 times daily",golisopod
cisatracurium IV 2mcg/kg/minute; rivaroxaban 20mg PO QHS; neostigmine 0.05mg/kg IV once; methotrexate 20mg PO once weekly; docusate 100mg PO BID,cisatracurium IV 2mcg/kg/minute; rivaroxaban 20mg PO QHS; sandgast 1mg SQ monthly; neostigmine 0.05mg/kg IV once; methotrexate 20mg PO once weekly; docusate 100mg PO BID,sandygast
Fluoxetine 40mg PO daily; norepinephrine 0.05mcg/kg/min; citalopram 20mg PO daily; polyethylene glycol 17gm PO once,Fluoxetine 40mg PO daily; norepinephrine IV 0.05mcg/kg/min; pallosand 1mcg/kg/hr IV; citalopram 20mg PO daily; polyethylene glycol 17gm PO once,palossand
"Clozapine 25 mg, Take 1 tablet by mouth daily; Senna 8.6 mg, take 1 tablet by mouth as needed for constipation; polyethylene glycol 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; Ceftriaxone 2g, administer IV once daily; Amiodarone 0.5mg/min IV as a continuous infusion","Clozapine 25 mg, Take 1 tablet by mouth daily; pyukumuku 1mcg po PRN nausea; Senna 8.6 mg, take 1 tablet by mouth as needed for constipation; polyethylene glycol 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; Ceftriaxone 2g, administer IV once daily; Amiodarone 0.5mg/min IV as a continuous infusion",pyukumuku
"Clozapine 25 mg, Take 1 tablet by mouth daily; Ceftriaxone 2g, administer IV once daily; thiamine 100mg, administer IV once daily, dronabinol 5mg, administer by mouth twice daily","Clozapine 25 mg, Take 1 tablet by mouth daily; Minior 5mg IM daily; Ceftriaxone 2g, administer IV once daily; thiamine 100mg, administer IV once daily, dronabinol 5mg, administer by mouth twice daily",minior
"Clozapine 25 mg, Take 1 tablet by mouth daily; Milrinone 10 mcg/minute IV as a continuous infusion; flucytosine 1750mg, administer IV four times daily; Enoxaparin 40 mg, administer SQ daily","Clozapine 25 mg, Take 1 tablet by mouth daily; toxitricity 10mg IM daily; Milrinone 10 mcg/minute IV as a continuous infusion; flucytosine 1750mg, administer IV four times daily; Enoxaparin 40 mg, administer SQ daily",toxitricity
"Cobicistat 150mg, administer by mouth once daily; everolimus 0.75mg, administer by mouth twice daily; Dobutamine 5 mcg/kg/minute, administer IV as a continuous infusion; Famotidine 20 mg, administer IV twice daily","Barraskewda 1mg PO daily; Cobicistat 150mg, administer by mouth once daily; everolimus 0.75mg, administer by mouth twice daily; Dobutamine 5 mcg/kg/minute, administer IV as a continuous infusion; Famotidine 20 mg, administer IV twice daily",barraskewda
"Cobicistat 150mg, administer by mouth once daily; Phenobarbital 260 mg, administer IV once; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Micafungin 100mg, administer IV once daily;","Cobicistat 150mg, administer by mouth once daily; cursola 1mcg po TID; Phenobarbital 260 mg, administer IV once; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Micafungin 100mg, administer IV once daily;",cursola
"Cobicistat 150mg, administer by mouth once daily; Phenytoin 400mg , administer IV over 10 min; heparin 5000 units, administer SC 3 times daily; calcium chloride 1g, administer IV over 20 minutes","Cobicistat 150mg, administer by mouth once daily; morgrem 1000mg IV q12h; Phenytoin 400mg , administer IV over 10 min; heparin 5000 units, administer SC 3 times daily; calcium chloride 1g, administer IV over 20 minutes",morgrem
"Cobicistat 150mg, administer by mouth once daily; Propofol 100 mg, administered IV once; rivaroxaban 20mg, administer by mouth once daily; Norepinephrine 0.13 mcg/kg/minute IV as a continuous infusion","Cobicistat 150mg, administer by mouth once daily; Propofol 100 mg, administered IV once; rivaroxaban 20mg, administer by mouth once daily; Norepinephrine 0.13 mcg/kg/minute IV as a continuous infusion; impidimp 5mg PO q8h",impidimp
"Cobicistat 150mg, administer by mouth once daily; ticagrelor 90mg, administer by mouth twice daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once","Cobicistat 150mg, administer by mouth once daily; ticagrelor 90mg, administer by mouth twice daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; hatenna 5% 1 application topically BID PRN itching",hatenna
Doxorubicin 60 mg/m2 IV daily; Cyclophosphamide 600 mg/m2 IV daily; Cefepime 2 g IV every 8 hours; Morphine 2 mg IV every 2 hours as needed; Pantoprazole 40 mg IV once daily.,Doxorubicin 60 mg/m2 IV daily; Sinstea 5% opthalmic in both eyes BID; Cyclophosphamide 600 mg/m2 IV daily; Cefepime 2 g IV every 8 hours; Morphine 2 mg IV every 2 hours as needed; Pantoprazole 40 mg IV once daily.,sinstea
"Cyclosporine 5 mg/kg/day, administer by mouth in 2 divided doses; Atorvastatin 40mg, take 1 tablet by mouth daily, Vasopressin 0.04 units/min adminstered IV as a continuous infusion; melatonin 3 mg, take one tablet by mouth at bedtime","Cyclosporine 5 mg/kg/day, administer by mouth in 2 divided doses; Atorvastatin 40mg, take 1 tablet by mouth daily, Vasopressin 0.04 units/min adminstered IV as a continuous infusion; melatonin 3 mg, take one tablet by mouth at bedtime; grapploct 5mg IM q6h PRN agitation",grapploct
"Caspofungin 50mg, administer IV once daily, Cyclosporine 5 mg/kg/day, administer by mouth in 2 divided doses; Diphenhydramine 50 mg IV every 4 hours; Famotidine 20 mg IV once; Methylprednisolone 125 mg administered IV in a single dose; Enoxaparin 40 mg SQ once daily;","Caspofungin 50mg, administer IV once daily, Cyclosporine 5 mg/kg/day, administer by mouth in 2 divided doses; centiskorch 4% 1 application topically q8h PRN itching; Diphenhydramine 50 mg IV every 4 hours; Famotidine 20 mg IV once; Methylprednisolone 125 mg administered IV in a single dose; Enoxaparin 40 mg SQ once daily;",centiskorch
cyclosporine 400mg IV daily; ceftriaxone 2000mg IV q24h; dabigatran 150mg PO BID; gabapentin 300mg PO BID,cyclosporine 400mg IV daily; ceftriaxone 2000mg IV q24h; dabigatran 150mg PO BID; gabapentin 300mg PO BID; arrokuda 75mg rectally every other day,arrokuda
Cyclosporine 400mg IV daily; digoxin 125mcg PO daily; insulin glargine 10 units SQ daily; lidocaine 5% patch topically daily,Cyclosporine 400mg IV daily; digoxin 125mcg PO daily; insulin glargine 10 units SQ daily; cramorant 5mg PO daily; lidocaine 5% patch topically daily,cramorant
Dabigatran 150mg PO BID; propofol 20mcg/kg/min; cefiderocol 2000mg IV q8h; aspirin 81mg PO QAM,Dabigatran 150mg PO BID; propofol 20mcg/kg/min; applin 5% 2 drops in each ear daily; cefiderocol 2000mg IV q8h; aspirin 81mg PO QAM,applin
"aripiprazole 10mg, administer by mouth once daily; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Dobutamine 5 mcg/kg/minute, administer IV as a continuous infusion; Dabigatran 150mg, administer by mouth twice daily; divalproex 250 mg, administer by mouth 3 times daily","aripiprazole 10mg, administer by mouth once daily; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Dobutamine 5 mcg/kg/minute, administer IV as a continuous infusion; carkol 7.5mg IV daily; Dabigatran 150mg, administer by mouth twice daily; divalproex 250 mg, administer by mouth 3 times daily",carkol
dabigatran 150mg PO BID; heparin 15units/kg/hr IV; vancomycin 1g IV q8h; famotidine 20mg IV BID; insulin glargine 20 units SQ QHS,dabigatran 150mg PO BID; heparin 15units/kg/hr IV; rolycoly 1mg IV q12; vancomycin 1g IV q8h; famotidine 20mg IV BID; insulin glargine 20 units SQ QHS,rolycoly
